2012-11-11,29
2012-11-18,33
2012-11-25,15
2012-12-02,22
2012-12-09,27
2012-12-16,26
2012-12-23,12
2012-12-30,9
2013-01-06,30
2013-01-13,29
2013-01-20,28
2013-01-27,25
2013-02-03,37
2013-02-10,17
2013-02-17,26
2013-02-24,22
2013-03-03,15
2013-03-10,30
2013-03-17,28
2013-03-24,21
2013-03-31,25
2013-04-07,27
2013-04-14,18
2013-04-21,27
2013-04-28,19
2013-05-05,25
2013-05-12,30
2013-05-19,47
2013-05-26,53
2013-06-02,53
2013-06-09,42
2013-06-16,54
2013-06-23,85
2013-06-30,90
2013-07-07,85
2013-07-14,49
2013-07-21,55
2013-07-28,58
2013-08-04,39
2013-08-11,28
2013-08-18,31
2013-08-25,15
2013-09-01,30
2013-09-08,31
2013-09-15,28
2013-09-22,35
2013-09-29,24
2013-10-06,28
2013-10-13,26
2013-10-20,24
2013-10-27,18
2013-11-03,21
2013-11-10,24
2013-11-17,31
2013-11-24,21
2013-12-01,23
2013-12-08,19
2013-12-15,18
2013-12-22,13
2013-12-29,8
2014-01-05,23
2014-01-12,26
2014-01-19,32
2014-01-26,33
2014-02-02,16
2014-02-09,29
2014-02-16,30
2014-02-23,36
2014-03-02,19
2014-03-09,39
2014-03-16,35
2014-03-23,31
2014-03-30,21
2014-04-06,37
2014-04-13,23
2014-04-20,29
2014-04-27,21
2014-05-04,22
2014-05-11,31
2014-05-18,20
2014-05-25,25
2014-06-01,38
2014-06-08,36
2014-06-15,60
2014-06-22,51
2014-06-29,89
2014-07-06,55
2014-07-13,44
2014-07-20,46
2014-07-27,60
2014-08-03,56
2014-08-10,43
2014-08-17,23
2014-08-24,28
2014-08-31,34
2014-09-07,24
2014-09-14,47
2014-09-21,27
2014-09-28,29
2014-10-05,40
2014-10-12,23
2014-10-19,29
2014-10-26,16
2014-11-02,28
2014-11-09,23
2014-11-16,16
2014-11-23,25
2014-11-30,34
2014-12-07,29
2014-12-14,32
2014-12-21,19
2014-12-28,16
2015-01-04,19
2015-01-11,36
2015-01-18,33
2015-01-25,36
2015-02-01,39
2015-02-08,34
2015-02-15,27
2015-02-22,28
2015-03-01,20
2015-03-08,31
2015-03-15,34
2015-03-22,30
2015-03-29,33
2015-04-05,22
2015-04-12,28
2015-04-19,29
2015-04-26,17
2015-05-03,16
2015-05-10,20
2015-05-17,15
2015-05-24,37
2015-05-31,38
2015-06-07,34
2015-06-14,52
2015-06-21,66
2015-06-28,100
2015-07-05,69
2015-07-12,54
2015-07-19,71
2015-07-26,62
2015-08-02,43
2015-08-09,21
2015-08-16,21
2015-08-23,27
2015-08-30,43
2015-09-06,31
2015-09-13,36
2015-09-20,30
2015-09-27,22
2015-10-04,28
2015-10-11,24
2015-10-18,26
2015-10-25,27
2015-11-01,23
2015-11-08,23
2015-11-15,29
2015-11-22,17
2015-11-29,23
2015-12-06,19
2015-12-13,24
2015-12-20,13
2015-12-27,11
2016-01-03,22
2016-01-10,30
2016-01-17,34
2016-01-24,24
2016-01-31,23
2016-02-07,23
2016-02-14,31
2016-02-21,19
2016-02-28,25
2016-03-06,40
2016-03-13,20
2016-03-20,28
2016-03-27,28
2016-04-03,27
2016-04-10,20
2016-04-17,27
2016-04-24,27
2016-05-01,28
2016-05-08,22
2016-05-15,24
2016-05-22,31
2016-05-29,29
2016-06-05,36
2016-06-12,39
2016-06-19,48
2016-06-26,100
2016-07-03,82
2016-07-10,67
2016-07-17,43
2016-07-24,36
2016-07-31,43
2016-08-07,28
2016-08-14,28
2016-08-21,25
2016-08-28,39
2016-09-04,41
2016-09-11,23
2016-09-18,26
2016-09-25,35
2016-10-02,31
2016-10-09,19
2016-10-16,34
2016-10-23,25
2016-10-30,20
2016-11-06,24
2016-11-13,21
2016-11-20,24
2016-11-27,27
2016-12-04,19
2016-12-11,15
2016-12-18,18
2016-12-25,17
2017-01-01,10
2017-01-08,32
2017-01-15,36
2017-01-22,19
2017-01-29,28
2017-02-05,31
2017-02-12,23
2017-02-19,26
2017-02-26,27
2017-03-05,23
2017-03-12,26
2017-03-19,21
2017-03-26,20
2017-04-02,27
2017-04-09,21
2017-04-16,32
2017-04-23,25
2017-04-30,15
2017-05-07,23
2017-05-14,20
2017-05-21,22
2017-05-28,30
2017-06-04,27
2017-06-11,32
2017-06-18,51
2017-06-25,54
2017-07-02,69
2017-07-09,41
2017-07-16,35
2017-07-23,44
2017-07-30,38
2017-08-06,28
2017-08-13,33
2017-08-20,26
2017-08-27,26
2017-09-03,18
2017-09-10,30
2017-09-17,23
2017-09-24,19
2017-10-01,26
2017-10-08,19
2017-10-15,27
2017-10-22,27
2017-10-29,26
2017-11-05,14
